# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Booking_id,Customer_id,Room_id,Check_in_date,Check_out_date,Booking_status
1,571,191,2026-02-03,2026-02-06,Checked_out
2,322,162,2026-02-08,2026-02-11,Checked_in
3,747,26,2026-02-14,2026-02-19,Checked_in
4,163,154,2026-02-13,2026-02-15,Reserved
5,641,99,2026-02-19,2026-02-23,Cancelled
6,801,119,2026-02-14,2026-02-19,Cancelled
7,491,82,2026-02-15,2026-02-18,Checked_in
8,442,46,2026-02-05,2026-02-06,Cancelled
9,876,60,2026-02-18,2026-02-22,Reserved
10,172,46,2026-02-06,2026-02-11,Cancelled
11,340,100,2026-02-08,2026-02-13,Checked_in
12,115,19,2026-02-10,2026-02-11,Checked_in
13,518,18,2026-02-12,2026-02-14,Reserved
14,431,101,2026-01-31,2026-02-01,Cancelled
15,471,103,2026-02-04,2026-02-07,Checked_in
16,460,30,2026-02-14,2026-02-19,Reserved
17,462,111,2026-02-07,2026-02-08,Checked_in
18,548,192,2026-02-15,2026-02-20,Checked_in
19,32,61,2026-02-12,2026-02-15,Cancelled
20,94,192,2026-02-16,2026-02-19,Checked_in
21,749,11,2026-02-01,2026-02-04,Cancelled
22,654,122,2026-02-06,2026-02-11,Checked_in
23,175,64,2026-02-05,2026-02-10,Cancelled
24,664,84,2026-02-06,2026-02-07,Cancelled
25,411,161,2026-02-05,2026-02-07,Cancelled
26,735,122,2026-02-10,2026-02-14,Checked_in
27,275,110,2026-01-31,2026-02-01,Cancelled
28,992,199,2026-02-05,2026-02-08,Checked_in
29,418,56,2026-02-04,2026-02-08,Checked_out
30,451,51,2026-02-13,2026-02-15,Reserved
31,288,38,2026-02-03,2026-02-07,Cancelled
32,224,91,2026-02-19,2026-02-23,Reserved
33,286,202,2026-02-03,2026-02-05,Cancelled
34,33,200,2026-02-17,2026-02-22,Reserved
35,993,86,2026-02-11,2026-02-15,Checked_in
36,881,201,2026-02-04,2026-02-05,Checked_in
37,417,106,2026-02-03,2026-02-04,Checked_out
38,388,145,2026-02-08,2026-02-13,Cancelled
39,821,120,2026-02-09,2026-02-10,Checked_in
40,38,110,2026-02-09,2026-02-11,Cancelled
41,186,39,2026-02-19,2026-02-23,Reserved
42,89,198,2026-02-12,2026-02-14,Checked_in
43,779,37,2026-02-04,2026-02-09,Checked_out
44,439,20,2026-02-11,2026-02-12,Checked_in
45,885,63,2026-02-01,2026-02-04,Checked_in
46,728,127,2026-02-11,2026-02-15,Cancelled
47,246,112,2026-02-08,2026-02-11,Cancelled
48,416,165,2026-02-19,2026-02-20,Cancelled
49,80,120,2026-02-04,2026-02-07,Checked_in
50,972,160,2026-02-03,2026-02-05,Cancelled
51,237,183,2026-02-12,2026-02-15,Checked_in
52,768,110,2026-02-13,2026-02-18,Cancelled
53,794,186,2026-02-19,2026-02-23,Checked_in
54,615,150,2026-02-19,2026-02-22,Reserved
55,314,47,2026-02-08,2026-02-09,Checked_out
56,387,142,2026-02-12,2026-02-13,Checked_in
57,586,13,2026-02-05,2026-02-06,Checked_in
58,111,96,2026-02-01,2026-02-05,Checked_out
59,626,138,2026-02-14,2026-02-16,Reserved
60,933,133,2026-02-01,2026-02-05,Cancelled
61,377,189,2026-02-07,2026-02-09,Checked_in
62,86,92,2026-02-18,2026-02-22,Cancelled
63,707,61,2026-02-15,2026-02-20,Cancelled
64,818,36,2026-02-15,2026-02-16,Reserved
65,807,82,2026-02-13,2026-02-17,Checked_in
66,131,93,2026-01-31,2026-02-03,Cancelled
67,499,136,2026-02-06,2026-02-07,Checked_in
68,494,116,2026-02-05,2026-02-09,Checked_in
69,805,62,2026-02-07,2026-02-08,Cancelled
70,807,37,2026-02-13,2026-02-18,Reserved
71,880,128,2026-02-03,2026-02-06,Cancelled
72,796,198,2026-02-10,2026-02-11,Checked_in
73,484,199,2026-02-09,2026-02-14,Checked_in
74,482,69,2026-02-16,2026-02-18,Checked_in
75,149,119,2026-02-19,2026-02-20,Cancelled
76,26241,161,2025-09-10,2025-12-09,Cancelled
77,30439,155,2025-10-24,2025-11-04,Confirmed
78,31069,50,2025-09-19,2025-11-22,No_show
79,33856,109,2025-09-30,2025-12-17,No_show
80,23573,29,2025-06-08,2025-11-18,Checked_out
81,21123,80,2025-08-05,2025-08-25,No_show
82,39228,31,2025-12-04,2026-02-11,Confirmed
83,34937,3,2025-10-27,2026-02-17,Cancelled
84,38391,98,2025-11-09,2026-01-21,Confirmed
85,31487,47,2025-04-01,2025-04-26,Confirmed
86,24619,134,2025-09-23,2025-10-06,Checked_out
87,34682,193,2025-06-28,2026-02-19,Checked_out
88,28626,177,2025-06-09,2025-11-24,Reserved
89,35719,99,2025-10-28,2026-02-02,Confirmed
90,29169,94,2025-09-05,2026-04-03,Confirmed
91,28650,79,2025-11-22,2026-02-24,Reserved
92,40367,94,2025-04-08,2025-05-22,Reserved
93,235,127,2025-09-08,2025-11-04,Confirmed
94,21893,19,2025-08-28,2025-11-26,No_show
95,27896,103,2025-07-25,2025-10-29,Cancelled
96,34145,171,2025-12-11,2026-01-19,Confirmed
97,26120,37,2025-06-25,2025-11-03,No_show
98,29111,182,2025-05-04,2026-03-27,Checked_in
99,35570,102,2025-12-07,2026-02-10,Confirmed
100,39312,109,2026-03-05,2026-03-06,Checked_in
101,32468,167,2025-05-31,2025-10-13,Reserved
102,36164,13,2026-02-20,2026-03-26,No_show
103,23873,173,2025-07-03,2025-07-15,Checked_out
104,35236,158,2025-08-23,2026-04-02,No_show
105,23606,77,2025-04-11,2025-05-14,Reserved
106,38534,156,2025-08-19,2026-03-24,Checked_out
107,21752,159,2026-01-16,2026-02-18,Confirmed
108,23458,94,2025-04-09,2025-12-24,Checked_in
109,37772,67,2025-06-01,2026-02-13,Cancelled
110,40523,62,2025-05-28,2025-12-03,Cancelled
111,23898,116,2025-07-04,2026-03-17,Cancelled
112,30282,134,2025-07-29,2026-03-23,Checked_out
113,30394,27,2025-06-03,2025-12-09,Confirmed
114,15,110,2025-07-04,2025-11-11,Checked_in
115,34393,187,2026-03-13,2026-04-02,Checked_in
116,37787,200,2025-10-16,2026-01-26,Checked_out
117,21738,19,2025-12-22,2026-04-02,Reserved
118,25915,169,2025-04-07,2026-03-14,Checked_out
119,22891,135,2025-05-08,2025-05-24,Cancelled
120,22242,128,2025-12-16,2026-01-15,No_show
121,37268,78,2025-05-16,2025-10-11,No_show
122,28662,32,2025-04-11,2025-06-14,Checked_in
123,28648,141,2025-09-03,2026-03-11,Checked_in
124,32838,153,2025-10-13,2026-03-14,Cancelled
125,21435,65,2025-07-06,2026-03-16,Checked_out
126,30675,113,2025-10-24,2026-01-22,Cancelled
127,33577,134,2025-07-16,2026-01-05,Cancelled
128,31358,74,2026-02-07,2026-03-21,Checked_in
129,28038,144,2025-09-07,2025-12-03,No_show
130,24525,26,2026-03-01,2026-03-14,Cancelled
131,41,104,2025-06-07,2025-10-18,Checked_in
132,39282,162,2025-04-16,2026-03-07,Confirmed
133,23899,66,2026-01-02,2026-02-02,Reserved
134,34979,58,2025-07-16,2025-12-31,Confirmed
135,24413,47,2025-05-07,2025-07-22,Cancelled
136,28180,115,2026-01-14,2026-03-28,Checked_out
137,21621,73,2025-10-03,2025-10-16,Checked_out
138,25217,111,2025-12-13,2025-12-24,Checked_out
139,35606,89,2025-11-15,2026-03-29,No_show
140,26035,186,2025-09-13,2026-02-20,Checked_out
141,34524,59,2025-04-01,2025-05-25,Confirmed
142,28244,47,2025-09-22,2026-02-13,Checked_in
143,36131,131,2025-05-18,2025-09-20,No_show
144,30347,202,2026-02-27,2026-03-21,Checked_in
145,31741,65,2026-02-20,2026-03-19,No_show
146,58,15,2025-10-20,2026-02-27,Cancelled
147,33943,8,2025-06-04,2025-08-26,Checked_out
148,30833,39,2026-01-19,2026-03-22,Checked_out
149,34096,5,2025-05-23,2025-11-02,Checked_in
150,34827,144,2026-03-14,2026-03-29,Checked_in
151,22489,177,2026-02-27,2026-03-24,Reserved
152,25590,70,2026-03-22,2026-04-03,Confirmed
153,31556,199,2025-11-18,2026-01-25,Reserved
